identifier,title,creator,year,language,publisher,subjects,sets,types,rights
oai:www.e-rara.ch:14017,Funfzehn Ansichten der neuen St. Gotthards-Strasse vom St. Gotthard-Hospiz bis Lugano,"Lusser, Karl Franz",1833,ger,"bey Heinrich Füssli und Comp., Kunsthandlung zur Meisenzunft","['ABBILDUNGEN UND BILDWERKE (DOKUMENTENTYP)', 'GOTTHARDGRUPPE, GOTTHARDREGION (TESSINER ALPEN)', 'KANTON TESSIN (SCHWEIZ)', 'NEUNZEHNTES JAHRHUNDERT N. CHR', 'PASSSTRASSEN (STRASSENBAU)', 'PÄSSE (REGIONALE GEOGRAFIE)']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:34616,Der  Baugarten,"Esslinger, Christoph",1842,ger,Verlag von Hermann Trachsler,"['PANORAMENKARTEN', 'ZÜRICH, STADT (KANTON ZÜRICH)']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:34628,Der  Höckler und das Schlösschen Maneck : ein Andenken für alle Freunde und Besucher dieser reizenden Lustörter,"Hardmeyer, Carl Wilhelm",1840,ger,bei Herrmann Trachsler,"['PANORAMENKARTEN', 'ZÜRICH, STADT (KANTON ZÜRICH)']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:366308,Ergebnisse der trigonometrischen Vermessungen in der Schweiz : nach Befehl der Hohen Tagsatzung aus den Protokollen der eidgenössischen Triangulirung,"Eschmann, Johannes",1840,ger,"Orell, Füssli","['AARBERG, ORT (KANTON BERN)', 'BERN, STADT (KANTON BERN)', 'BESONDERE VERFAHREN DER TRIGONOMETRISCHEN PUNKTBESTIMMUNG (GEODÄSIE)', 'LAGEFESTPUNKTE + TRIGONOMETRISCHE PUNKTE + POLYGONPUNKTE (GEODÄSIE)', 'LANDESVERMESSUNG (GEODÄSIE)', 'NETZVERDICHTUNG + TRIANGULATION 2. UND NIEDERER ORDNUNG (GEODÄSIE)', 'NUMERISCHE TAFELWERKE (DOKUMENTENTYP)', 'SCHWEIZ (MITTELEUROPA). SCHWEIZERISCHE EIDGENOSSENSCHAFT', 'SCHWEIZER SEEN', 'TRIANGULATION 1.ORDNUNG, HAUPTTRIANGULATION (GEODÄSIE)', 'TRIGONOMETRISCHE NETZE (GEODÄSIE)', 'ZÜRICH, STADT (KANTON ZÜRICH)']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'privlib', 'pbrwolf']","['Text', 'Book']",pdm
oai:www.e-rara.ch:388892,"Allgemeines Künstlerlexikon, oder: Kurze Nachricht von dem Leben und den Werken der Maler, Bildhauer, Baumeister, Kupferstecher, Kunstgiesser, Stahlschneider u.u.; nebst angehängten Verzeichnissen der Lehrmeister und Schüler, auch der Bildnisse, der in diesem Lexikon enthaltenen Künstler","Füssli, Johann Rudolf","['1806', '1821']",ger,"Orell, Füssli",,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:435271,Bericht über die Arbeiten zur Reform der schweizerischen Urmaasse,[s.n.],1868,ger,Druck von Zürcher und Furrer,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:649605,Nachrichten von der Sternwarte in Bern,"Wolf, Rudolf","['1848', '1855']",ger,[Verlag nicht ermittelbar],,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:672521,Geodäsie,"Wild, Johannes",1879,ger,Verein der Polytechniker,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:729101,Geodäsie,"Wild, Johannes",1881,ger,Verein der Polytechniker,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:730609,"Einleitung in die Astronomie, nach den Vorlesungen, die Herr Privatdozent A. Wolfer an der eidgen. polytechischen Schule im Wintersemester 1889/90 gehalten hat","Wolfer, Alfred",1890,ger,herausgegeben vom Polyt.Ingenieur-Verein,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:909944,Mittheilungen über Sternschnuppen und Feuerkugeln,"Wolf, Rudolf",1856,ger,Druck von Zürcher und Furrer,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:909984,Ueber Cometen und Cometen-Aberglauben : ein populärer Vortrag den 22. Januar 1857 zu Zürich gehalten,"Wolf, Rudolf",1857,ger,Verlag von Meyer & Zeller,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:930098,Beschreibung der astronomischen Uhr auf dem Frohnwaag-Thurm in Schaffhausen,"Schalch, Johann Jacob",1840,ger,Veith,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:931662,Die  astronomische Uhr im Strassburger Münster : Gedicht in allemannischer Mundart,"Binder, Pantaleon",1871,ger,Weber,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
